length_bin,speaker_gender,median_words,interj_rate,avg_interj,n
"(29.999, 41.0]",female,35.0,0.08336123200535654,0.13391362571141613,2987
"(29.999, 41.0]",male,36.0,0.08220615671641791,0.13024720149253732,8576
"(41.0, 55.0]",female,48.0,0.10070869078701977,0.15292801193584482,2681
"(41.0, 55.0]",male,48.0,0.10154826958105646,0.1647313296903461,8784
"(55.0, 77.0]",female,65.0,0.12779552715654952,0.2336261980830671,2504
"(55.0, 77.0]",male,65.0,0.13367978770455552,0.24060150375939848,9044
"(77.0, 112.0]",female,91.0,0.15845070422535212,0.323943661971831,2272
"(77.0, 112.0]",male,92.0,0.16553442028985507,0.3353713768115942,8832
"(112.0, 183.0]",male,142.0,0.22831934581450397,0.4897783516247041,9294
"(112.0, 183.0]",female,145.0,0.19038368139873726,0.46041767848470133,2059
"(183.0, 230.0]",male,211.0,0.15327102803738318,0.3795638629283489,8025
"(183.0, 230.0]",female,214.0,0.06313834726090993,0.15506035283194058,3231
"(230.0, 268.0]",female,248.0,0.046166306695464364,0.11312095032397408,3704
"(230.0, 268.0]",male,248.0,0.1260439419247077,0.3129898496723628,7783
"(268.0, 358.0]",female,295.0,0.14226633581472292,0.36724565756823824,2418
"(268.0, 358.0]",male,305.0,0.2748735244519393,0.7888701517706577,8895
"(358.0, 430.0]",male,399.0,0.32724050072006206,0.8973080757726819,9027
"(358.0, 430.0]",female,403.0,0.2369192130598577,0.5579740477187107,2389
"(430.0, 486.0]",male,458.0,0.26898770538894634,0.7173388486728715,8703
"(430.0, 486.0]",female,459.0,0.16303142329020331,0.4184842883548983,2705
"(486.0, 568.0]",male,521.0,0.23962329961632367,0.6278339727938612,8601
"(486.0, 568.0]",female,522.0,0.14596160811300254,0.415067004708439,2761
"(568.0, 667.0]",male,623.0,0.21618428824571767,0.5664500886001181,8465
"(568.0, 667.0]",female,625.0,0.14540995094604064,0.34583041345480026,2854
"(667.0, 736.0]",male,704.0,0.1878541512687854,0.4297856614929786,8118
"(667.0, 736.0]",female,706.0,0.10282317979197622,0.20029717682020803,3365
"(736.0, 800.0]",female,767.0,0.09445983379501385,0.17285318559556787,3610
"(736.0, 800.0]",male,768.0,0.1797987717235071,0.3859924212727035,7653
"(800.0, 908.0]",male,843.0,0.19169811320754718,0.39459119496855344,7950
"(800.0, 908.0]",female,843.0,0.13236994219653178,0.21965317919075145,3460
"(908.0, 1247.0]",female,1048.0,0.1525993883792049,0.26788990825688075,3270
"(908.0, 1247.0]",male,1050.0,0.21220750278568776,0.5263092732450168,8077
"(1247.0, 1551.0]",male,1405.0,0.2457115245228316,0.5521865184827253,8278
"(1247.0, 1551.0]",female,1410.0,0.13854066216650596,0.24975891996142718,3111
"(1551.0, 1922.0]",female,1717.0,0.15536985453419994,0.30114515629835964,3231
"(1551.0, 1922.0]",male,1726.0,0.25869485068206954,0.5965343492687722,8137
"(1922.0, 2360.0]",female,2124.0,0.1695194206714944,0.3324555628703094,3038
"(1922.0, 2360.0]",male,2128.0,0.30593169562612343,0.8071899340922708,8345
"(2360.0, 40403.0]",female,2734.0,0.23735563520509756,0.4727200318598168,2511
"(2360.0, 40403.0]",male,2757.0,0.3673998871968415,0.9006204173716864,8865
