model,term,label,coef,se,pvalue,ci_low,ci_high
negative_binomial,female_speaker,Female speaker,-0.5144383092619486,0.0251801012015711,8.985348125489931e-93,-0.5637913076170279,-0.4650853109068692
negative_binomial,femininity_score,Speech femininity score,-3.161387122165193,0.0482005732510643,0.0,-3.255860245737279,-3.066913998593107
negative_binomial,female_speaker:femininity_score,Female x femininity score,2.2875640008520484,0.0684899448739321,1.3710791304806627e-244,2.1533237088991415,2.4218042928049552
negative_binomial,chair_female,Female chair,0.0545572658048505,0.0322819500152052,0.0910233898042135,-0.00871535622495169,0.11782988783465269
negative_binomial,female_speaker:chair_female,Female speaker x female chair,0.0639866930160142,0.0342412057715596,0.0616639469373169,-0.0031260702962426085,0.13109945632827102
negative_binomial,log_words,Log speech length,0.3707136261020133,0.0048886172387081,0.0,0.3611319363141454,0.3802953158898812
negative_binomial,speaker_in_gov,Speaker in government,5.095484733173824e-17,9.539007775538101e-18,9.206140260136759e-08,3.225839209168356e-17,6.965130257179292e-17
negative_binomial,question_flag,Question context,0.3024659227249325,0.0203467715496,5.516111649541638e-50,0.2625862504877165,0.3423455949621485
negative_binomial,answer_flag,Answer context,1.3548544349247094,0.0137364993079123,0.0,1.3279308962812013,1.3817779735682174
logit,female_speaker,Female speaker,-0.548043270762317,0.041779010369735,2.6083156674577115e-39,-0.6299301310869976,-0.46615641043763634
logit,femininity_score,Speech femininity score,-2.8342443969433084,0.0754301267494863,5.62312455141146e-309,-2.9820874453723016,-2.6864013485143152
logit,female_speaker:femininity_score,Female x femininity score,2.0189582678167755,0.107198333676512,3.986280853254042e-79,1.808849533810812,2.229067001822739
logit,chair_female,Female chair,0.0342288775994214,0.0574430701099803,0.5512588727546747,-0.07835953981614,0.14681729501498278
logit,female_speaker:chair_female,Female speaker x female chair,0.2119185657870012,0.0560383599958872,0.0001557799962725,0.10208338019506227,0.32175375137894013
logit,log_words,Log speech length,0.4057706248737471,0.0085381988788042,0.0,0.38903575507129085,0.42250549467620335
logit,speaker_in_gov,Speaker in government,2.683291561062687e-18,1.1891699285727888e-17,0.8214782529382121,-2.0624439038963973e-17,2.5991022161089346e-17
logit,question_flag,Question context,0.3644077155250002,0.0328058141534112,1.1467104224140326e-28,0.30010831978431424,0.4287071112656861
logit,answer_flag,Answer context,1.49678025137923,0.0259223429938469,0.0,1.4459724591112901,1.54758804364717
